Name,Ingredients
['Slow Cooker Italian Beef'],|['1 pound thinly sliced roast beef', '1 (.7 ounce) package dry Italian-style salad dressing mix', '1 (16 ounce) jar pepperoncini, sliced', '1 (10.5 ounce) can beef broth']|
['Chicago-Inspired Italian Beef Sandwich '],|['1 1/2 pounds boneless beef chuck, cut into 2-inch pieces', 'salt and ground black pepper to taste', '1 tablespoon vegetable oil', '6 cloves garlic, sliced', '2 tablespoons white vinegar', '1 tablespoon dried oregano', '1 1/2 teaspoons salt, or to taste', '1 teaspoon dried thyme', '1 teaspoon dried rosemary', '1 teaspoon freshly ground black pepper', '1 bay leaf', '1/4 teaspoon red pepper flakes, or to taste', '3 cups chicken broth, or as needed', '4 ciabatta rolls, sliced in half', '1 cup chopped giardiniera (pickled Italian vegetables)', '2 teaspoons chopped fresh flat-leaf parsley']|
